#At time x process y state arr w total z remain y wait k
At time 1 process 1 started arr 1 total 10 remain 10 wait 0
At time 2 process 1 stopped arr 1 total 10 remain 10 wait 0
At time 2 process 1 resumed arr 1 total 10 remain 9 wait 0
At time 3 process 1 stopped arr 1 total 10 remain 9 wait 0
At time 3 process 1 resumed arr 1 total 10 remain 8 wait 0
At time 4 process 1 stopped arr 1 total 10 remain 8 wait 0
At time 4 process 1 resumed arr 1 total 10 remain 7 wait 0
At time 5 process 1 stopped arr 1 total 10 remain 7 wait 0
At time 5 process 1 resumed arr 1 total 10 remain 6 wait 0
At time 6 process 1 stopped arr 1 total 10 remain 6 wait 0
At time 6 process 1 resumed arr 1 total 10 remain 5 wait 0
At time 7 process 1 stopped arr 1 total 10 remain 5 wait 0
At time 7 process 2 started arr 6 total 5 remain 5 wait 1
At time 8 process 2 stopped arr 6 total 5 remain 5 wait 1
At time 8 process 1 resumed arr 1 total 10 remain 4 wait 1
At time 9 process 1 stopped arr 1 total 10 remain 4 wait 1
At time 9 process 2 resumed arr 6 total 5 remain 4 wait 2
At time 10 process 2 stopped arr 6 total 5 remain 4 wait 2
At time 10 process 2 resumed arr 6 total 5 remain 3 wait 2
At time 11 process 2 stopped arr 6 total 5 remain 3 wait 2
At time 11 process 1 resumed arr 1 total 10 remain 3 wait 3
At time 12 process 1 stopped arr 1 total 10 remain 3 wait 3
At time 12 process 2 resumed arr 6 total 5 remain 2 wait 3
At time 13 process 2 stopped arr 6 total 5 remain 2 wait 3
At time 13 process 3 started arr 10 total 5 remain 5 wait 3
At time 14 process 3 stopped arr 10 total 5 remain 5 wait 3
At time 14 process 1 resumed arr 1 total 10 remain 2 wait 5
At time 15 process 1 stopped arr 1 total 10 remain 2 wait 5
At time 15 process 2 resumed arr 6 total 5 remain 1 wait 5
At time 16 process 2 stopped arr 6 total 5 remain 1 wait 5
At time 16 process 2 finished arr 6 total 5 remain 0 wait 5 TA 10 WTA 2.000000
At time 16 process 1 resumed arr 1 total 10 remain 1 wait 6
At time 17 process 1 stopped arr 1 total 10 remain 1 wait 6
At time 17 process 1 finished arr 1 total 10 remain 0 wait 6 TA 16 WTA 1.600000
At time 17 process 3 resumed arr 10 total 5 remain 4 wait 6
At time 18 process 3 stopped arr 10 total 5 remain 4 wait 6
At time 18 process 3 resumed arr 10 total 5 remain 3 wait 6
At time 19 process 3 stopped arr 10 total 5 remain 3 wait 6
At time 19 process 3 resumed arr 10 total 5 remain 2 wait 6
At time 20 process 3 stopped arr 10 total 5 remain 2 wait 6
At time 20 process 4 started arr 19 total 2 remain 2 wait 1
At time 21 process 4 stopped arr 19 total 2 remain 2 wait 1
At time 21 process 3 resumed arr 10 total 5 remain 1 wait 7
At time 22 process 3 stopped arr 10 total 5 remain 1 wait 7
At time 22 process 3 finished arr 10 total 5 remain 0 wait 7 TA 12 WTA 2.400000
At time 22 process 4 resumed arr 19 total 2 remain 1 wait 2
At time 23 process 4 stopped arr 19 total 2 remain 1 wait 2
At time 23 process 4 finished arr 19 total 2 remain 0 wait 2 TA 4 WTA 2.000000
